neck_angle,neck_level,neck_twisting,neck_score,trunk_angle,trunk_level,trunk_twisting,trunk_score,leg_position_or_angle,leg_score,posture_score_a,upper_arm_angle,upper_arm_initial_score,upper_arm_is_leaning,upper_arm_level,upper_arm_raised,upper_arm_final_score,lower_arm_angle,lower_arm_position_or_angle,lower_arm_score,wrist_angle,wrist_level,wrist_score,posture_score_b,reba_final_score,kategori,kalimat_rekomendasi_expert
8,1,0,1,18,2,0,2,1,1,2,66,3,1,2,0,2,62,1,1,1,1,1,1,1,"Negligible risk, no action required",Posisi kerja sudah ideal. Tetap pertahankan posisi ideal dengan menjaga postur duduk tegak dan lengan atas tetap berada pada sudut kurang dari 20 derjat
180,1,0,1,180,1,0,1,1,1,1,42,2,1,1,0,1,55,2,2,2,1,1,1,1,"Negligible risk, no action required",Posisi kerja sudah ideal. Tetap pertahankan posisi ideal dengan menjaga postur duduk tegak dan gunakan sandaran lengan untuk menyokong lengan bawah. 
9,1,0,1,15,2,0,2,1,1,2,61,3,1,2,0,2,65,1,1,9,1,1,1,1,"Negligible risk, no action required","Posisi kerja kurang baik. untuk mencapai posisi ideal, pastikan duduk dalam keadaan tegak, gunakan sandaran kursi ergonomis untuk menopang punggung. Perhatikan ketinggian meja kerja, usahakan setinggi siku sehingga lengan atas tidak membentuk sudut lebih dari 20 derajat. Dapat juga menggunakan sandaran tangan adjustable untuk membantu menopang lengan"
14,1,1,2,180,1,0,1,1,1,1,31,2,1,1,0,1,73,1,1,1,1,1,1,1,"Negligible risk, no action required",Posisi kerja sudah ideal. Tetap pertahankan posisi ideal dengan menjaga postur duduk tegak dan atur kembali posisi layar agar leher tetap berada pada posisi netral
6,1,0,1,180,1,0,1,1,1,1,31,2,1,1,0,1,71,1,1,2,1,1,1,1,"Negligible risk, no action required",Posisi kerja sudah ideal. Tetap pertahankan posisi ideal dengan menjaga postur duduk tegak
43,2,0,2,180,1,0,1,1,1,1,21,2,1,1,0,1,64,1,1,11,1,1,1,1,"Negligible risk, no action required",Posisi kerja sudah ideal. Tetap pertahankan posisi ideal dengan menjaga postur duduk tegak dan atur kembali posisi layar agar leher tetap berada pada posisi netral
180,1,1,2,180,1,1,2,1,1,3,36,2,1,1,0,1,72,1,1,4,1,1,1,2,"Low risk, change may be needed","Posisi sudah baik, untuk meningkatkan posisi duduk agar lebih ideal,  atur posisi kerja agar pekerja dapat menghadap langsung pada objek kerja tanpa memutar tubuh, atau gunakan kursi yang dapat berputar untuk menghindari pekerja melakukan gerakan twisting"
1,1,0,1,19,2,0,2,1,1,2,52,3,1,2,0,2,59,2,2,180,1,1,2,2,"Low risk, change may be needed","Posisi kerja kurang baik. untuk mencapai posisi ideal, pastikan duduk dalam keadaan tegak. Atur tinggi meja agar sejajar dengan siku sehingga lengan atas dapat membentuk sudut ideal (kurang dari 20 derajat), gunakan sandaran lengan adjustable"
13,1,1,2,23,3,0,3,1,1,4,43,2,1,1,0,1,80,1,1,13,1,1,1,3,"Low risk, change may be needed","Posisi kerja kurang baik. Pastikan duduk dalam kondisi tegak, gunakan kursi dengan penyangga punggung ergonomis. Hindari gerakan twisting pada leher. "
9,1,1,2,180,1,1,2,3,3,5,125,4,1,3,0,3,46,2,2,139,2,2,5,6,"Medium risk, further investigation, change soon","Posisi kerja berbahaya. Posisi kerja perlu segera diperbaiki. Bila memungkinkan ubah susunan stasiun kerja agar pekerja tidak perlu berjongkok dan mengadahkan leher. Untuk posisi kerja yang mengharuskan berjongkok dan mengadahkan leher (confined space), disarankan menggunakan alas kerja atau kursi untuk menyangga tubuh serta melakukan peregangan secara berkala. Hindari gerakan twisting pada punggung dan leher. "
127,2,0,2,122,4,0,4,2,2,6,63,3,0,3,0,3,21,2,2,3,1,1,4,7,"Medium risk, further investigation, change soon","Posisi kerja sangat berbahaya. Untuk mengurangi risiko cidera, hindari posisi membungkuk saat mengangkat beban. pastikan leher dan punggung dalam posisi netral. Pastikan kedua kaki berada pada kondisi stabil. Gunakan kedua kaki sebagai tumpuan untuk menjaga distribusi beban tubuh tetap seimbang. Hindari menekuk lutut terlalu dalam dan usahakan lutut tetap pada sudut moderat (sekitar 90° atau kurang). "
8,1,1,2,125,4,0,4,3,3,7,82,3,0,3,0,3,43,2,2,58,2,2,5,9,"High risk, investigate and implement change",Posisi kerja sangat berbahaya. perlu perbaikan segera. hindari posisi membungkuk saat mengangkat beban. pastikan leher dan punggung dalam posisi netral. Pastikan kedua kaki berada pada kondisi stabil. Gunakan kedua kaki sebagai tumpuan untuk menjaga distribusi beban tubuh tetap seimbang. Hindari menekuk lutut terlalu dalam dan usahakan lutut tetap pada sudut moderat (sekitar 90° atau kurang). Hindari gerakan twisting pada pergelangan tangan dengan menjaga pergelangan tangan berada pada posisi lurus dengan lengan bawah. 
